victor_id	ogg_iri	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name	reference_annotation
61	OGG_3000923111	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
62	OGG_3000923545	mouse	10090					MUTATION: hspR mutant is attenuated in mice [PMID:11385512].
63	OGG_3000923602	mouse	10090					MUTATION: katG mutant is attenuated in mice and guinea pigs [PMID:9534978].
64	OGG_3000923760	mouse	10090					MUTATION: sodC mutant is more susceptible to killing by activated murine macrophages than the wild type  [PMID:11447176].
64	OGG_3000923760	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sodC mutant is more susceptible to killing by activated murine macrophages than the wild type  [PMID:11447176].
65	OGG_3000923776	human	9606					MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
65	OGG_3000923776	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
65	OGG_3000923776	mouse	10090					MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
65	OGG_3000923776	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
66	OGG_3000923873	mouse	10090					MUTATION: senX3-regX3 deletion mutant is attenuated in mice [PMID:12777483].
67	OGG_3000923874	mouse	10090					MUTATION: senX3-regX3 deletion mutant is attenuated in mice [PMID:12777483].
68	OGG_3000923905	mouse	10090					MUTATION: proC mutant is attenuated in mice [PMID:11160012].
69	OGG_3000924178	mouse	10090					MUTATION: trpD mutant is attenuated in mice [PMID:11160012].
70	OGG_3000924361	mouse	10090					MUTATION: lspA mutant is attenuated in mice [PMID:18832305].
71	OGG_3000924601	mouse	10090					MUTATION: sigC mutant is attenuated in mice [PMID:15049808].
72	OGG_3000924814	human	9606					MUTATION: sigE mutant is unable to grow in unactivated human and murine macrophages and is more susceptible to killing by activated macrophages than the wild type [PMID:11489128].
72	OGG_3000924814	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sigE mutant is unable to grow in unactivated human and murine macrophages and is more susceptible to killing by activated macrophages than the wild type [PMID:11489128].
72	OGG_3000924814	mouse	10090					MUTATION: sigE mutant is unable to grow in unactivated human and murine macrophages and is more susceptible to killing by activated macrophages than the wild type [PMID:11489128].
72	OGG_3000924814	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sigE mutant is unable to grow in unactivated human and murine macrophages and is more susceptible to killing by activated macrophages than the wild type [PMID:11489128].
73	OGG_3000925207	mouse	10090					MUTATION: leuD mutant is attenuated in mice [PMID:10768986].
76	OGG_3000925884	mouse	10090					MUTATION: cysH mutant is attenuated in mice [PMID:16553880].
77	OGG_3000925954	mouse	10090					MUTATION: mma4 mutant is attenuated in mice [PMID:10844652].
78	OGG_3000926053	mouse	10090					MUTATION: sigL mutant is attenuated in mice [PMID:16199577].
79	OGG_3000926330	mouse	10090					MUTATION: erp mutant is attenuated in mice [PMID:9784137].
80	OGG_3000926524	mouse	10090					MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
82	OGG_3000885038	mouse	10090					MUTATION: mprA mutant is attenuated in mice [PMID:11675502].
83	OGG_3000885039	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
84	OGG_3000885072	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
85	OGG_3000885108	mouse	10090					MUTATION: pks7 mutant is attenuated in mice [PMID:12855735].
86	OGG_3000885112	mouse	10090					MUTATION: pks10 mutant is attenuated in mice [PMID:12730158].
87	OGG_3000885116	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
88	OGG_3000885120	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
89	OGG_3000885125	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
90	OGG_3000885209	mouse	10090					MUTATION: prrA mutant  is attenuated in murine macrophages [PMID:11953357].
90	OGG_3000885209	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: prrA mutant  is attenuated in murine macrophages [PMID:11953357].
91	OGG_3000885250	mouse	10090					MUTATION: cysH mutants are attenuated in mice [PMID:16553880].
92	OGG_3000885286	mouse	10090					MUTATION: ompA mutant is impaired in its ability to grow in macrophages and in normal mice, although it was as virulent as the wild type in mice that lack T cells [PMID:12366842].
92	OGG_3000885286	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: ompA mutant is impaired in its ability to grow in macrophages and in normal mice, although it was as virulent as the wild type in mice that lack T cells [PMID:12366842].
93	OGG_3000885296	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
94	OGG_3000885300	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
95	OGG_3000885302	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
96	OGG_3000885311	mouse	10090					MUTATION: Rv1747 mutant is attenuated in mice [PMID:16040957].
97	OGG_3000885314	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
98	OGG_3000885344	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
100	OGG_3000885377	mouse	10090					MUTATION: Rv3616c mutant is attenuated in mice [PMID:16030141].
101	OGG_3000885382	mouse	10090					MUTATION: pepD mutant has altered virulence in mouse model of infection [PMID:20061478].
102	OGG_3000885428	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
103	OGG_3000885437	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
104	OGG_3000885438	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
105	OGG_3000885439	human	9606					MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
105	OGG_3000885439	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
105	OGG_3000885439	mouse	10090					MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
105	OGG_3000885439	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
106	OGG_3000885447	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
107	OGG_3000885459	mouse	10090					MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
108	OGG_3000885472	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
109	OGG_3000885488	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
110	OGG_3000885502	human	9606					MUTATION: Rv3676 mutant is attenuated in human macrophages and mice [PMID:15882420].
110	OGG_3000885502	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: Rv3676 mutant is attenuated in human macrophages and mice [PMID:15882420].
110	OGG_3000885502	mouse	10090					MUTATION: Rv3676 mutant is attenuated in human macrophages and mice [PMID:15882420].
110	OGG_3000885502	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: Rv3676 mutant is attenuated in human macrophages and mice [PMID:15882420].
111	OGG_3000885521	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
112	OGG_3000885594	mouse	10090					MUTATION: secA2 mutant is attenuated in mice [PMID:12675804].
113	OGG_3000885596	mouse	10090					MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
114	OGG_3000885602	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
115	OGG_3000885638	mouse	10090					MUTATION: katG mutant is attenuated in mice and guinea pigs [PMID:9534978].
117	OGG_3000885770	mouse	10090					MUTATION: Rv3615c mutant is attenuated in mice and has growth defects in macrophages [PMID:16135231].
117	OGG_3000885770	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: Rv3615c mutant is attenuated in mice and has growth defects in macrophages [PMID:16135231].
118	OGG_3000885777	mouse	10090					MUTATION: Rv3614c mutant is attenuated in mice and has growth defects in macrophages [PMID:16135231].
118	OGG_3000885777	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: Rv3614c mutant is attenuated in mice and has growth defects in macrophages [PMID:16135231].
119	OGG_3000885780	mouse	10090					MUTATION:  attenuated in mice [PMID:14569030].
120	OGG_3000885791	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
121	OGG_3000885805	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
122	OGG_3000885814	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
123	OGG_3000885828	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
125	OGG_3000885841	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
126	OGG_3000885849	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
127	OGG_3000885861	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
128	OGG_3000885906	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
129	OGG_3000885924	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
130	OGG_3000885929	mouse	10090					MUTATION: hspR is attenuated in mice [PMID:11385512].
131	OGG_3000885932	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
132	OGG_3000885935	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
133	OGG_3000885944	mouse	10090					MUTATION: mce3A mutant is attenuated in mice [PMID:15804490].
134	OGG_3000885995	mouse	10090					MUTATION: plcABC triple mutants are attenuated in mice [PMID:12100560].
135	OGG_3000885999	mouse	10090					MUTATION: plcABC triple mutants are attenuated in mice [PMID:12100560].
136	OGG_3000886000	mouse	10090					MUTATION: plcABC triple mutants are attenuated in mice [PMID:12100560].
137	OGG_3000886007	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
138	OGG_3000886009	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
139	OGG_3000886012	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
140	OGG_3000886030	mouse	10090					MUTATION: Rv0386 mutant is attenuated in mice [PMID:20039878].
141	OGG_3000886035	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
142	OGG_3000886052	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
143	OGG_3000886063	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
144	OGG_3000886065	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
145	OGG_3000886066	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
146	OGG_3000886068	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
147	OGG_3000886084	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
148	OGG_3000886113	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
149	OGG_3000886123	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
150	OGG_3000886132	mouse	10090					MUTATION: fbpA mutant is attenuated in mice [PMID:15557632].
151	OGG_3000886138	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
152	OGG_3000886139	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
153	OGG_3000886145	mouse	10090					MUTATION: mmpL8 mutant is attenuated in mice [PMID:12724526].
154	OGG_3000886166	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
155	OGG_3000886172	mouse	10090					MUTATION: Rv3865 mutant is attenuated in mice [PMID:16368961].
156	OGG_3000886174	mouse	10090					MUTATION: sodA mutant  is attenuated in mice [PMID:11751190].
157	OGG_3000886185	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
158	OGG_3000886189	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
159	OGG_3000886191	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
160	OGG_3000886194	mouse	10090					MUTATION: esxB (CFP-10) mutant is attenuated in mice [PMID:16030141].
161	OGG_3000886199	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
162	OGG_3000886200	mouse	10090					MUTATION: Rv3866 mutant is attenuated in mice [PMID:16368961].
163	OGG_3000886201	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
164	OGG_3000886202	mouse	10090					MUTATION: Rv3871 mutant is attenuated in mice [PMID:14557536].
165	OGG_3000886204	mouse	10090					MUTATION: Rv3870 mutant is attenuated in mice [PMID:14557536].
166	OGG_3000886206	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
167	OGG_3000886207	mouse	10090					MUTATION: Rv3877 (snm4) mutant is attenuated in mice [PMID:14557536].
168	OGG_3000886208	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
169	OGG_3000886209	mouse	10090					MUTATION: esxA (ESAT-6) mutant is attenuated in mice [PMID:16030141].
170	OGG_3000886211	mouse	10090					MUTATION: Rv3887c mutant is attenuated in mice [PMID:17353284].
172	OGG_3000886217	mouse	10090					MUTATION: mycP1 mutant is attenuated in chronic infection of mice [PMID:20227664].
173	OGG_3000886247	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
175	OGG_3000886284	mouse	10090					MUTATION: pcaA mutant is attenuated in mice [PMID:10882107].
177	OGG_3000886292	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
178	OGG_3000886293	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
179	OGG_3000886301	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
180	OGG_3000886343	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
181	OGG_3000886345	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
182	OGG_3000886358	mouse	10090					MUTATION: sodC mutant is more susceptible to killing by activated murine macrophages than the wild type [PMID:11447176].
182	OGG_3000886358	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sodC mutant is more susceptible to killing by activated murine macrophages than the wild type [PMID:11447176].
183	OGG_3000886359	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
184	OGG_3000886370	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
185	OGG_3000886391	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
186	OGG_3000886397	mouse	10090					MUTATION: pknG mutant is attenuated in mice [PMID:15186418].
187	OGG_3000886408	mouse	10090					MUTATION: lspA mutant is attenuated in mice [PMID:18832305].
188	OGG_3000886442	mouse	10090					MUTATION: pks5 mutant is attenuated in mice [PMID:12855735].
189	OGG_3000886457	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
190	OGG_3000886544	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
191	OGG_3000886569	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
192	OGG_3000886573	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
193	OGG_3000886578	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
194	OGG_3000886670	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
195	OGG_3000886671	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
196	OGG_3000886700	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
197	OGG_3000886709	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
198	OGG_3000886714	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
199	OGG_3000886727	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
200	OGG_3000886729	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
201	OGG_3000886747	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
202	OGG_3000886750	mouse	10090					MUTATION: mmpL11 mutant is attenuated in mice [PMID:15908378].
203	OGG_3000886753	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
204	OGG_3000886799	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
205	OGG_3000886800	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
206	OGG_3000886801	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
207	OGG_3000886804	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
208	OGG_3000886808	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
209	OGG_3000886810	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
210	OGG_3000886812	mouse	10090					MUTATION: yrbE1B mutant is attenuated in mice [PMID:15804490].
211	OGG_3000886822	mouse	10090					MUTATION: fadD5 mutant is attenuated in mice [PMID:20214478].
212	OGG_3000886823	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
213	OGG_3000886855	mouse	10090					MUTATION: fadD33 mutant is attenuated in mice [PMID:12480891].
214	OGG_3000886866	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
215	OGG_3000886882	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
216	OGG_3000886901	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
217	OGG_3000886904	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
218	OGG_3000886931	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
219	OGG_3000886933	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
220	OGG_3000886935	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
221	OGG_3000886941	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
222	OGG_3000886951	mouse	10090					MUTATION attenuated in mice [PMID:14569030].
223	OGG_3000886987	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
224	OGG_3000887021	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
226	OGG_3000887093	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
227	OGG_3000887104	mouse	10090					MUTATION: attenuated in mice [PMID:14569030]
228	OGG_3000887121	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
229	OGG_3000887124	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
230	OGG_3000887143	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
231	OGG_3000887145	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
232	OGG_3000887168	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
233	OGG_3000887170	mouse	10090					MUTATION: Rv0485 mutant is attenuated in mice [PMID:19651861].
234	OGG_3000887173	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
235	OGG_3000887185	mouse	10090					MUTATION: senX3-regX3 deletion mutant is attenuated in mice [PMID:12777483].
236	OGG_3000887195	mouse	10090					MUTATION: senX3-regX3 deletion mutant is attenuated in mice [PMID:12777483].
237	OGG_3000887204	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
238	OGG_3000887205	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
239	OGG_3000887233	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
240	OGG_3000887235	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
241	OGG_3000887246	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
242	OGG_3000887247	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
243	OGG_3000887255	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
244	OGG_3000887256	mouse	10090					MUTATION: proC mutant is attenuated in mice [PMID:11160012].
245	OGG_3000887285	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
246	OGG_3000887286	mouse	10090					MUTATION: ilvB1 mutant is attenuated in mice [PMID:19542000].
247	OGG_3000887291	mouse	10090					MUTATION: pks15 mutant is attenuated in mice [PMID:12730158].
248	OGG_3000887313	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
249	OGG_3000887410	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
250	OGG_3000887454	mouse	10090					MUTATION: fadD28 mutant is attenuated in mice [PMID:10573420].
251	OGG_3000887493	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
252	OGG_3000887548	mouse	10090					MUTATION: mmpL7 mutant is attenuated in mice [PMID:10573420].
253	OGG_3000887552	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
254	OGG_3000887579	mouse	10090					MUTATION: hspX mutant is attenuated in murine macrophages and THP-1 cells [PMID:9689123].
254	OGG_3000887579	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: hspX mutant is attenuated in murine macrophages and THP-1 cells [PMID:9689123].
255	OGG_3000887594	human	9606					MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
255	OGG_3000887594	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
255	OGG_3000887594	mouse	10090					MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
255	OGG_3000887594	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
256	OGG_3000887595	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
257	OGG_3000887598	mouse	10090					MUTATION: whiB3 mutant is attenuated in mice [PMID:11880648].
258	OGG_3000887603	mouse	10090					MUTATION: fadD26 mutant is attenuated in mice [PMID:15958066].
259	OGG_3000887617	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
260	OGG_3000887633	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
261	OGG_3000887681	mouse	10090					MUTATION: trpD mutant is attenuated in mice [PMID:11160012].
262	OGG_3000887697	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
263	OGG_3000887744	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
264	OGG_3000887745	mouse	10090					MUTATION: mce2A mutant is attenuated in mice [PMID:15804490].
265	OGG_3000887750	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
266	OGG_3000887782	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
267	OGG_3000887815	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
268	OGG_3000887818	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
269	OGG_3000887836	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
270	OGG_3000887838	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
271	OGG_3000887857	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
273	OGG_3000887893	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
274	OGG_3000887917	mouse	10090					MUTATION: Rv2693c mutant is attenuated in mice [PMID:17353284].
275	OGG_3000887918	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
276	OGG_3000887956	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
277	OGG_3000887968	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
278	OGG_3000887990	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
279	OGG_3000887998	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
280	OGG_3000888006	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
281	OGG_3000888017	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
282	OGG_3000888029	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
283	OGG_3000888031	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
284	OGG_3000888053	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
285	OGG_3000888058	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
286	OGG_3000888064	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
289	OGG_3000888081	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
290	OGG_3000888091	mouse	10090					MUTATION: attenuated in mice [PMID:14569030].
291	OGG_3000888094	mouse	10090					MUTATION: sigH mutant has diminished immunopathology and is nonlethal in mice [PMID:12060776].
292	OGG_3000888107	mouse	10090					MUTATION: Rv2206 mutant is attenuated in mice [PMID:17353284].
293	OGG_3000888122	mouse	10090					MUTATION: pks1 mutant is attenuated in mice [PMID:12730158].
