victor_id	ncbi_gene_id	ogg_iri	reference_annotation
25	876428	http://purl.obolibrary.org/obo/OGG_3000876428	MUTATION: virF knockouts are non-invasive to host cells [PMID:20237205].
26	876429	http://purl.obolibrary.org/obo/OGG_3000876429	MUTATION: spa47 mutants form needle-less type III structure which is defective, and thus incapable of invasion of host cells [PMID:10921870].
27	876431	http://purl.obolibrary.org/obo/OGG_3000876431	MUTATION: spa15 mutant was attenuated in entry into epithelial cells compared to the wild-type [PMID:11952903].
28	876435	http://purl.obolibrary.org/obo/OGG_3000876435	MUTATION: transposon mutants of ipgA cannot invade epithelial cells and cannot induce keratoconjunctivitis in mice [PMID:8376337].
29	876444	http://purl.obolibrary.org/obo/OGG_3000876444	MUTATION: ipaD mutants are completely unable to invade cultured cells or lyse RBCs [PMID:15731041] .
30	876446	http://purl.obolibrary.org/obo/OGG_3000876446	MUTATION: ipgC mutant attenuated in infecting Caco-2 cells monolayer [PMID:11207551].
31	876448	http://purl.obolibrary.org/obo/OGG_3000876448	MUTATION: ipaC mutants cannot invade cultured cells or lyse red blood cells [PMID:18656530].
32	876451	http://purl.obolibrary.org/obo/OGG_3000876451	MUTATION: ipaB mutant is unable to infect HeLa cells [PMID:20086081].
33	876456	http://purl.obolibrary.org/obo/OGG_3000876456	MUTATION: spa33 mutants are unable to secrete effectors necessary to cell invasion [PMID:16246841].
34	876471	http://purl.obolibrary.org/obo/OGG_3000876471	MUTATION: virA mutants did not move within the host cytoplasm and failed to move into adjacent cells [PMID:17095701].
35	876473	http://purl.obolibrary.org/obo/OGG_3000876473	MUTATION: virG mutants are able to replicate in cells, but cell to cell spread is attenuated in monkey kidney epithelial cells [PMID:2644195].
36	876493	http://purl.obolibrary.org/obo/OGG_3000876493	MUTATION: transposon mutants of ipgB cannot invade epithelial cells and cannot induce keratoconjunctivitis in mice [PMID:8376337].
37	876495	http://purl.obolibrary.org/obo/OGG_3000876495	MUTATION: ipgD mutant is unable to dephosphorylate phosphatidylinositol 4,5-bisphosphate [PtdIns(4,5)P2] and induces shorter filapodia in host cells [PMID:12356723].
38	876497	http://purl.obolibrary.org/obo/OGG_3000876497	MUTATION: mxiG mutant was unable to enter HeLa cells and to provoke keratoconjunctivitis in guinea-pigs [PMID:8559065].
39	876502	http://purl.obolibrary.org/obo/OGG_3000876502	MUTATION: spa32 mutants are unable to invade HeLa cells and do not secrete type III effectors [PMID:11844752].
40	876507	http://purl.obolibrary.org/obo/OGG_3000876507	MUTATION: mxiI mutant is unable to invade HeLa cells [PMID:11169106].
41	876508	http://purl.obolibrary.org/obo/OGG_3000876508	MUTATION: mxiM mutants are phenotypically avirulent, and also unable to invade semiconfluent L2 cell monolayers [PMID:10085046].
42	876511	http://purl.obolibrary.org/obo/OGG_3000876511	MUTATION: mxiJ mutant was unable to invade HeLa cells, to induce the formation of plaques on confluent monolayers of HeLa cells, and to provoke keratoconjunctivitis in guinea pigs [PMID:1332940].
43	876512	http://purl.obolibrary.org/obo/OGG_3000876512	MUTATION: mxiD mutant is unable to invade HeLa cells or to provoke keratoconjunctivitis in guinea-pigs [PMID:8437520].
44	876514	http://purl.obolibrary.org/obo/OGG_3000876514	MUTATION: mxiE deletion mutants are unable to block apoptosis of host epithelial cells [PMID:17339354].
45	876515	http://purl.obolibrary.org/obo/OGG_3000876515	MUTATION: mxiK mutants are unable to invade HeLa cells [PMID:12864857].
46	876516	http://purl.obolibrary.org/obo/OGG_3000876516	MUTATION: virB mutants have an avirulent phenotype and do not invade host cells [PMID:8385666].
47	876517	http://purl.obolibrary.org/obo/OGG_3000876517	MUTATION: mxiA mutants were attenuated in invasion of HeLa cells [PMID:2037361].
48	876523	http://purl.obolibrary.org/obo/OGG_3000876523	MUTATION: mxiD mutant is unable to invade HeLa cells or to provoke keratoconjunctivitis in guinea-pigs [PMID:8437520].
49	876528	http://purl.obolibrary.org/obo/OGG_3000876528	MUTATION: icsB mutants are attenuated in guinea pig eyes [PMID:12753186].
50	876530	http://purl.obolibrary.org/obo/OGG_3000876530	MUTATION: virK mutants have attenuated ability for intracellular spreading in host cells [PMID:15664968].
51	876534	http://purl.obolibrary.org/obo/OGG_3000876534	MUTATION: mxiH mutants are unable to invade HeLa cells [PMID:11169106].
52	876595	http://purl.obolibrary.org/obo/OGG_3000876595	MUTATION: ipaA mutants are attenuated in invasion of HeLa cells [PMID:9184218].
53	876625	http://purl.obolibrary.org/obo/OGG_3000876625	MUTATION: ipaH9.8 deletion mutant caused more severe inflammatory responses with increased pro-inflammatory cytokine production levels than did wild-type Shigella, which resulted in a 30-fold decrease in bacterial colonization in murine lungs [PMID:15950937].
54	876658	http://purl.obolibrary.org/obo/OGG_3000876658	MUTATION: sopA mutant was able to infect HeLa cells, but was attenuated in its ability to spread to other cells compared to the wild type [PMID:9076742].
55	876712	http://purl.obolibrary.org/obo/OGG_3000876712	MUTATION: sepA mutant has attenuated virulence in ligated rabbit ileal loop model [PMID:7476198].
56	876715	http://purl.obolibrary.org/obo/OGG_3000876715	MUTATION: ipaH7.8 mutants had a lower rate of exit from the endocytic vacuoles into the cytoplasm in mouse macrophages than the wild-type strain [PMID:10816519].
57	922492	http://purl.obolibrary.org/obo/OGG_3000922492	MUTATION: sigF mutant is attenuated in mice [PMID:14977982].
58	922599	http://purl.obolibrary.org/obo/OGG_3000922599	MUTATION: fbpA mutant is attenuated in mice [PMID:15557632].
59	922795	http://purl.obolibrary.org/obo/OGG_3000922795	MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
60	922907	http://purl.obolibrary.org/obo/OGG_3000922907	MUTATION: sigH mutant has diminished immunopathology and is nonlethal in mice [PMID:12060776].
61	923111	http://purl.obolibrary.org/obo/OGG_3000923111	MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
62	923545	http://purl.obolibrary.org/obo/OGG_3000923545	MUTATION: hspR mutant is attenuated in mice [PMID:11385512].
63	923602	http://purl.obolibrary.org/obo/OGG_3000923602	MUTATION: katG mutant is attenuated in mice and guinea pigs [PMID:9534978].
64	923760	http://purl.obolibrary.org/obo/OGG_3000923760	MUTATION: sodC mutant is more susceptible to killing by activated murine macrophages than the wild type  [PMID:11447176].
65	923776	http://purl.obolibrary.org/obo/OGG_3000923776	MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
66	923873	http://purl.obolibrary.org/obo/OGG_3000923873	MUTATION: senX3-regX3 deletion mutant is attenuated in mice [PMID:12777483].
67	923874	http://purl.obolibrary.org/obo/OGG_3000923874	MUTATION: senX3-regX3 deletion mutant is attenuated in mice [PMID:12777483].
68	923905	http://purl.obolibrary.org/obo/OGG_3000923905	MUTATION: proC mutant is attenuated in mice [PMID:11160012].
69	924178	http://purl.obolibrary.org/obo/OGG_3000924178	MUTATION: trpD mutant is attenuated in mice [PMID:11160012].
70	924361	http://purl.obolibrary.org/obo/OGG_3000924361	MUTATION: lspA mutant is attenuated in mice [PMID:18832305].
71	924601	http://purl.obolibrary.org/obo/OGG_3000924601	MUTATION: sigC mutant is attenuated in mice [PMID:15049808].
72	924814	http://purl.obolibrary.org/obo/OGG_3000924814	MUTATION: sigE mutant is unable to grow in unactivated human and murine macrophages and is more susceptible to killing by activated macrophages than the wild type [PMID:11489128].
73	925207	http://purl.obolibrary.org/obo/OGG_3000925207	MUTATION: leuD mutant is attenuated in mice [PMID:10768986].
74	925657	http://purl.obolibrary.org/obo/OGG_3000925657	MUTATION: Long-term survival of the relA mutant during in vitro starvation or nutrient run out in normal media was significantly impaired compared to that in the wild type. In addition, the mutant was significantly less able to survive extended anaerobic incubation than the wild-type virulent organism [PMID:10940033].
75	925827	http://purl.obolibrary.org/obo/OGG_3000925827	MUTATION: ahpC mutant has decreased survival in unactivated macrophages compared to the wild type [PMID:12368447].
76	925884	http://purl.obolibrary.org/obo/OGG_3000925884	MUTATION: cysH mutant is attenuated in mice [PMID:16553880].
77	925954	http://purl.obolibrary.org/obo/OGG_3000925954	MUTATION: mma4 mutant is attenuated in mice [PMID:10844652].
78	926053	http://purl.obolibrary.org/obo/OGG_3000926053	MUTATION: sigL mutant is attenuated in mice [PMID:16199577].
79	926330	http://purl.obolibrary.org/obo/OGG_3000926330	MUTATION: erp mutant is attenuated in mice [PMID:9784137].
80	926524	http://purl.obolibrary.org/obo/OGG_3000926524	MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
81	926547	http://purl.obolibrary.org/obo/OGG_3000926547	MUTATION: MT3491.1 mutant is attenuated in survival within macrophages [PMID:15340136].
82	885038	http://purl.obolibrary.org/obo/OGG_3000885038	MUTATION: mprA mutant is attenuated in mice [PMID:11675502].
83	885039	http://purl.obolibrary.org/obo/OGG_3000885039	MUTATION: attenuated in mice [PMID:14569030].
84	885072	http://purl.obolibrary.org/obo/OGG_3000885072	MUTATION: attenuated in mice [PMID:14569030].
85	885108	http://purl.obolibrary.org/obo/OGG_3000885108	MUTATION: pks7 mutant is attenuated in mice [PMID:12855735].
86	885112	http://purl.obolibrary.org/obo/OGG_3000885112	MUTATION: pks10 mutant is attenuated in mice [PMID:12730158].
87	885116	http://purl.obolibrary.org/obo/OGG_3000885116	MUTATION: attenuated in mice [PMID:14569030].
88	885120	http://purl.obolibrary.org/obo/OGG_3000885120	MUTATION: attenuated in mice [PMID:14569030].
89	885125	http://purl.obolibrary.org/obo/OGG_3000885125	MUTATION: attenuated in mice [PMID:14569030].
90	885209	http://purl.obolibrary.org/obo/OGG_3000885209	MUTATION: prrA mutant  is attenuated in murine macrophages [PMID:11953357].
91	885250	http://purl.obolibrary.org/obo/OGG_3000885250	MUTATION: cysH mutants are attenuated in mice [PMID:16553880].
92	885286	http://purl.obolibrary.org/obo/OGG_3000885286	MUTATION: ompA mutant is impaired in its ability to grow in macrophages and in normal mice, although it was as virulent as the wild type in mice that lack T cells [PMID:12366842].
93	885296	http://purl.obolibrary.org/obo/OGG_3000885296	MUTATION: attenuated in mice [PMID:14569030].
94	885300	http://purl.obolibrary.org/obo/OGG_3000885300	MUTATION: attenuated in mice [PMID:14569030].
95	885302	http://purl.obolibrary.org/obo/OGG_3000885302	MUTATION: attenuated in mice [PMID:14569030].
96	885311	http://purl.obolibrary.org/obo/OGG_3000885311	MUTATION: Rv1747 mutant is attenuated in mice [PMID:16040957].
97	885314	http://purl.obolibrary.org/obo/OGG_3000885314	MUTATION: attenuated in mice [PMID:14569030].
98	885344	http://purl.obolibrary.org/obo/OGG_3000885344	MUTATION: attenuated in mice [PMID:14569030].
99	885364	http://purl.obolibrary.org/obo/OGG_3000885364	MUTATION: Rv0986 mutant is attenuated in survival within macrophages [PMID:15340136].
100	885377	http://purl.obolibrary.org/obo/OGG_3000885377	MUTATION: Rv3616c mutant is attenuated in mice [PMID:16030141].
101	885382	http://purl.obolibrary.org/obo/OGG_3000885382	MUTATION: pepD mutant has altered virulence in mouse model of infection [PMID:20061478].
102	885428	http://purl.obolibrary.org/obo/OGG_3000885428	MUTATION: attenuated in mice [PMID:14569030].
103	885437	http://purl.obolibrary.org/obo/OGG_3000885437	MUTATION: attenuated in mice [PMID:14569030].
104	885438	http://purl.obolibrary.org/obo/OGG_3000885438	MUTATION: attenuated in mice [PMID:14569030].
105	885439	http://purl.obolibrary.org/obo/OGG_3000885439	MUTATION: mgtC mutant is attenuated in human macrophages and mice [PMID:10760138].
106	885447	http://purl.obolibrary.org/obo/OGG_3000885447	MUTATION: attenuated in mice [PMID:14569030].
107	885459	http://purl.obolibrary.org/obo/OGG_3000885459	MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
108	885472	http://purl.obolibrary.org/obo/OGG_3000885472	MUTATION: attenuated in mice [PMID:14569030].
109	885488	http://purl.obolibrary.org/obo/OGG_3000885488	MUTATION: attenuated in mice [PMID:14569030].
110	885502	http://purl.obolibrary.org/obo/OGG_3000885502	MUTATION: Rv3676 mutant is attenuated in human macrophages and mice [PMID:15882420].
111	885521	http://purl.obolibrary.org/obo/OGG_3000885521	MUTATION: attenuated in mice [PMID:14569030].
112	885594	http://purl.obolibrary.org/obo/OGG_3000885594	MUTATION: secA2 mutant is attenuated in mice [PMID:12675804].
113	885596	http://purl.obolibrary.org/obo/OGG_3000885596	MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
114	885602	http://purl.obolibrary.org/obo/OGG_3000885602	MUTATION: attenuated in mice [PMID:14569030].
115	885638	http://purl.obolibrary.org/obo/OGG_3000885638	MUTATION: katG mutant is attenuated in mice and guinea pigs [PMID:9534978].
116	885717	http://purl.obolibrary.org/obo/OGG_3000885717	MUTATION: ahpC mutant has decreased survival in unstimulated macrophages compared to the wild type [PMID:12368447].
117	885770	http://purl.obolibrary.org/obo/OGG_3000885770	MUTATION: Rv3615c mutant is attenuated in mice and has growth defects in macrophages [PMID:16135231].
118	885777	http://purl.obolibrary.org/obo/OGG_3000885777	MUTATION: Rv3614c mutant is attenuated in mice and has growth defects in macrophages [PMID:16135231].
119	885780	http://purl.obolibrary.org/obo/OGG_3000885780	MUTATION:  attenuated in mice [PMID:14569030].
120	885791	http://purl.obolibrary.org/obo/OGG_3000885791	MUTATION: attenuated in mice [PMID:14569030].
121	885805	http://purl.obolibrary.org/obo/OGG_3000885805	MUTATION: attenuated in mice [PMID:14569030].
122	885814	http://purl.obolibrary.org/obo/OGG_3000885814	MUTATION: attenuated in mice [PMID:14569030].
123	885828	http://purl.obolibrary.org/obo/OGG_3000885828	MUTATION: attenuated in mice [PMID:14569030].
124	885838	http://purl.obolibrary.org/obo/OGG_3000885838	MUTATION: mbtB mutant is attenuated in macrophage like THP-1 cells [PMID:10655517].
125	885841	http://purl.obolibrary.org/obo/OGG_3000885841	MUTATION: attenuated in mice [PMID:14569030].
126	885849	http://purl.obolibrary.org/obo/OGG_3000885849	MUTATION: attenuated in mice [PMID:14569030].
127	885861	http://purl.obolibrary.org/obo/OGG_3000885861	MUTATION: attenuated in mice [PMID:14569030].
128	885906	http://purl.obolibrary.org/obo/OGG_3000885906	MUTATION: attenuated in mice [PMID:14569030].
129	885924	http://purl.obolibrary.org/obo/OGG_3000885924	MUTATION: attenuated in mice [PMID:14569030].
130	885929	http://purl.obolibrary.org/obo/OGG_3000885929	MUTATION: hspR is attenuated in mice [PMID:11385512].
131	885932	http://purl.obolibrary.org/obo/OGG_3000885932	MUTATION: attenuated in mice [PMID:14569030].
132	885935	http://purl.obolibrary.org/obo/OGG_3000885935	MUTATION: attenuated in mice [PMID:14569030].
133	885944	http://purl.obolibrary.org/obo/OGG_3000885944	MUTATION: mce3A mutant is attenuated in mice [PMID:15804490].
134	885995	http://purl.obolibrary.org/obo/OGG_3000885995	MUTATION: plcABC triple mutants are attenuated in mice [PMID:12100560].
135	885999	http://purl.obolibrary.org/obo/OGG_3000885999	MUTATION: plcABC triple mutants are attenuated in mice [PMID:12100560].
136	886000	http://purl.obolibrary.org/obo/OGG_3000886000	MUTATION: plcABC triple mutants are attenuated in mice [PMID:12100560].
137	886007	http://purl.obolibrary.org/obo/OGG_3000886007	MUTATION: attenuated in mice [PMID:14569030].
138	886009	http://purl.obolibrary.org/obo/OGG_3000886009	MUTATION: attenuated in mice [PMID:14569030].
139	886012	http://purl.obolibrary.org/obo/OGG_3000886012	MUTATION: attenuated in mice [PMID:14569030].
140	886030	http://purl.obolibrary.org/obo/OGG_3000886030	MUTATION: Rv0386 mutant is attenuated in mice [PMID:20039878].
141	886035	http://purl.obolibrary.org/obo/OGG_3000886035	MUTATION: attenuated in mice [PMID:14569030].
142	886052	http://purl.obolibrary.org/obo/OGG_3000886052	MUTATION: attenuated in mice [PMID:14569030].
143	886063	http://purl.obolibrary.org/obo/OGG_3000886063	MUTATION: attenuated in mice [PMID:14569030].
144	886065	http://purl.obolibrary.org/obo/OGG_3000886065	MUTATION: attenuated in mice [PMID:14569030].
145	886066	http://purl.obolibrary.org/obo/OGG_3000886066	MUTATION: attenuated in mice [PMID:14569030].
146	886068	http://purl.obolibrary.org/obo/OGG_3000886068	MUTATION: attenuated in mice [PMID:14569030].
147	886084	http://purl.obolibrary.org/obo/OGG_3000886084	MUTATION: attenuated in mice [PMID:14569030].
148	886113	http://purl.obolibrary.org/obo/OGG_3000886113	MUTATION: attenuated in mice [PMID:14569030].
149	886123	http://purl.obolibrary.org/obo/OGG_3000886123	MUTATION: attenuated in mice [PMID:14569030].
150	886132	http://purl.obolibrary.org/obo/OGG_3000886132	MUTATION: fbpA mutant is attenuated in mice [PMID:15557632].
151	886138	http://purl.obolibrary.org/obo/OGG_3000886138	MUTATION: attenuated in mice [PMID:14569030].
152	886139	http://purl.obolibrary.org/obo/OGG_3000886139	MUTATION: attenuated in mice [PMID:14569030].
153	886145	http://purl.obolibrary.org/obo/OGG_3000886145	MUTATION: mmpL8 mutant is attenuated in mice [PMID:12724526].
154	886166	http://purl.obolibrary.org/obo/OGG_3000886166	MUTATION: attenuated in mice [PMID:14569030].
155	886172	http://purl.obolibrary.org/obo/OGG_3000886172	MUTATION: Rv3865 mutant is attenuated in mice [PMID:16368961].
156	886174	http://purl.obolibrary.org/obo/OGG_3000886174	MUTATION: sodA mutant  is attenuated in mice [PMID:11751190].
157	886185	http://purl.obolibrary.org/obo/OGG_3000886185	MUTATION: attenuated in mice [PMID:14569030].
158	886189	http://purl.obolibrary.org/obo/OGG_3000886189	MUTATION: attenuated in mice [PMID:14569030].
159	886191	http://purl.obolibrary.org/obo/OGG_3000886191	MUTATION: attenuated in mice [PMID:14569030].
160	886194	http://purl.obolibrary.org/obo/OGG_3000886194	MUTATION: esxB (CFP-10) mutant is attenuated in mice [PMID:16030141].
161	886199	http://purl.obolibrary.org/obo/OGG_3000886199	MUTATION: attenuated in mice [PMID:14569030].
162	886200	http://purl.obolibrary.org/obo/OGG_3000886200	MUTATION: Rv3866 mutant is attenuated in mice [PMID:16368961].
163	886201	http://purl.obolibrary.org/obo/OGG_3000886201	MUTATION: attenuated in mice [PMID:14569030].
164	886202	http://purl.obolibrary.org/obo/OGG_3000886202	MUTATION: Rv3871 mutant is attenuated in mice [PMID:14557536].
165	886204	http://purl.obolibrary.org/obo/OGG_3000886204	MUTATION: Rv3870 mutant is attenuated in mice [PMID:14557536].
166	886206	http://purl.obolibrary.org/obo/OGG_3000886206	MUTATION: attenuated in mice [PMID:14569030].
167	886207	http://purl.obolibrary.org/obo/OGG_3000886207	MUTATION: Rv3877 (snm4) mutant is attenuated in mice [PMID:14557536].
168	886208	http://purl.obolibrary.org/obo/OGG_3000886208	MUTATION: attenuated in mice [PMID:14569030].
169	886209	http://purl.obolibrary.org/obo/OGG_3000886209	MUTATION: esxA (ESAT-6) mutant is attenuated in mice [PMID:16030141].
170	886211	http://purl.obolibrary.org/obo/OGG_3000886211	MUTATION: Rv3887c mutant is attenuated in mice [PMID:17353284].
171	886214	http://purl.obolibrary.org/obo/OGG_3000886214	MUTATION: Rv3881c (espB) mutant is attenuated in macrophages [PMID:17676952].
172	886217	http://purl.obolibrary.org/obo/OGG_3000886217	MUTATION: mycP1 mutant is attenuated in chronic infection of mice [PMID:20227664].
173	886247	http://purl.obolibrary.org/obo/OGG_3000886247	MUTATION: attenuated in mice [PMID:14569030].
174	886272	http://purl.obolibrary.org/obo/OGG_3000886272	MUTATION: hbhA mutant is attenuated in attachment and invasion of pneumocytes [PMID:11449276].
175	886284	http://purl.obolibrary.org/obo/OGG_3000886284	MUTATION: pcaA mutant is attenuated in mice [PMID:10882107].
176	886291	http://purl.obolibrary.org/obo/OGG_3000886291	MUTATION: icl mutant is attenuated in activated macrophages [PMID:10963599].
177	886292	http://purl.obolibrary.org/obo/OGG_3000886292	MUTATION: attenuated in mice [PMID:14569030].
178	886293	http://purl.obolibrary.org/obo/OGG_3000886293	MUTATION: attenuated in mice [PMID:14569030].
179	886301	http://purl.obolibrary.org/obo/OGG_3000886301	MUTATION: attenuated in mice [PMID:14569030].
180	886343	http://purl.obolibrary.org/obo/OGG_3000886343	MUTATION: attenuated in mice [PMID:14569030].
181	886345	http://purl.obolibrary.org/obo/OGG_3000886345	MUTATION: attenuated in mice [PMID:14569030].
182	886358	http://purl.obolibrary.org/obo/OGG_3000886358	MUTATION: sodC mutant is more susceptible to killing by activated murine macrophages than the wild type [PMID:11447176].
183	886359	http://purl.obolibrary.org/obo/OGG_3000886359	MUTATION: attenuated in mice [PMID:14569030].
184	886370	http://purl.obolibrary.org/obo/OGG_3000886370	MUTATION: attenuated in mice [PMID:14569030].
185	886391	http://purl.obolibrary.org/obo/OGG_3000886391	MUTATION: attenuated in mice [PMID:14569030].
186	886397	http://purl.obolibrary.org/obo/OGG_3000886397	MUTATION: pknG mutant is attenuated in mice [PMID:15186418].
187	886408	http://purl.obolibrary.org/obo/OGG_3000886408	MUTATION: lspA mutant is attenuated in mice [PMID:18832305].
188	886442	http://purl.obolibrary.org/obo/OGG_3000886442	MUTATION: pks5 mutant is attenuated in mice [PMID:12855735].
189	886457	http://purl.obolibrary.org/obo/OGG_3000886457	MUTATION: attenuated in mice [PMID:14569030].
190	886544	http://purl.obolibrary.org/obo/OGG_3000886544	MUTATION: attenuated in mice [PMID:14569030].
191	886569	http://purl.obolibrary.org/obo/OGG_3000886569	MUTATION: attenuated in mice [PMID:14569030].
192	886573	http://purl.obolibrary.org/obo/OGG_3000886573	MUTATION: attenuated in mice [PMID:14569030].
193	886578	http://purl.obolibrary.org/obo/OGG_3000886578	MUTATION: attenuated in mice [PMID:14569030].
194	886670	http://purl.obolibrary.org/obo/OGG_3000886670	MUTATION: attenuated in mice [PMID:14569030].
195	886671	http://purl.obolibrary.org/obo/OGG_3000886671	MUTATION: attenuated in mice [PMID:14569030].
196	886700	http://purl.obolibrary.org/obo/OGG_3000886700	MUTATION: attenuated in mice [PMID:14569030].
197	886709	http://purl.obolibrary.org/obo/OGG_3000886709	MUTATION: attenuated in mice [PMID:14569030].
198	886714	http://purl.obolibrary.org/obo/OGG_3000886714	MUTATION: attenuated in mice [PMID:14569030].
199	886727	http://purl.obolibrary.org/obo/OGG_3000886727	MUTATION: attenuated in mice [PMID:14569030].
200	886729	http://purl.obolibrary.org/obo/OGG_3000886729	MUTATION: attenuated in mice [PMID:14569030].
201	886747	http://purl.obolibrary.org/obo/OGG_3000886747	MUTATION: attenuated in mice [PMID:14569030].
202	886750	http://purl.obolibrary.org/obo/OGG_3000886750	MUTATION: mmpL11 mutant is attenuated in mice [PMID:15908378].
203	886753	http://purl.obolibrary.org/obo/OGG_3000886753	MUTATION: attenuated in mice [PMID:14569030].
204	886799	http://purl.obolibrary.org/obo/OGG_3000886799	MUTATION: attenuated in mice [PMID:14569030].
205	886800	http://purl.obolibrary.org/obo/OGG_3000886800	MUTATION: attenuated in mice [PMID:14569030].
206	886801	http://purl.obolibrary.org/obo/OGG_3000886801	MUTATION: attenuated in mice [PMID:14569030].
207	886804	http://purl.obolibrary.org/obo/OGG_3000886804	MUTATION: attenuated in mice [PMID:14569030].
208	886808	http://purl.obolibrary.org/obo/OGG_3000886808	MUTATION: attenuated in mice [PMID:14569030].
209	886810	http://purl.obolibrary.org/obo/OGG_3000886810	MUTATION: attenuated in mice [PMID:14569030].
210	886812	http://purl.obolibrary.org/obo/OGG_3000886812	MUTATION: yrbE1B mutant is attenuated in mice [PMID:15804490].
211	886822	http://purl.obolibrary.org/obo/OGG_3000886822	MUTATION: fadD5 mutant is attenuated in mice [PMID:20214478].
212	886823	http://purl.obolibrary.org/obo/OGG_3000886823	MUTATION: attenuated in mice [PMID:14569030].
213	886855	http://purl.obolibrary.org/obo/OGG_3000886855	MUTATION: fadD33 mutant is attenuated in mice [PMID:12480891].
214	886866	http://purl.obolibrary.org/obo/OGG_3000886866	MUTATION: attenuated in mice [PMID:14569030].
215	886882	http://purl.obolibrary.org/obo/OGG_3000886882	MUTATION: attenuated in mice [PMID:14569030].
216	886901	http://purl.obolibrary.org/obo/OGG_3000886901	MUTATION: attenuated in mice [PMID:14569030].
217	886904	http://purl.obolibrary.org/obo/OGG_3000886904	MUTATION: attenuated in mice [PMID:14569030].
218	886931	http://purl.obolibrary.org/obo/OGG_3000886931	MUTATION: attenuated in mice [PMID:14569030].
219	886933	http://purl.obolibrary.org/obo/OGG_3000886933	MUTATION: attenuated in mice [PMID:14569030].
220	886935	http://purl.obolibrary.org/obo/OGG_3000886935	MUTATION: attenuated in mice [PMID:14569030].
221	886941	http://purl.obolibrary.org/obo/OGG_3000886941	MUTATION: attenuated in mice [PMID:14569030].
